course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3
Data Science - Mathematics,Colorado State University,"Fort Collins, Colorado, United States",In this Data Science - Mathematics program from Colorado State University you will gain knowledge and insight through the analysis of data. ,"10,456 EUR / year",month,48,B.Sc.,Full-time,,
Data Science - Statistics,Colorado State University,"Fort Collins, Colorado, United States",In this Data Science - Statistics program from Colorado State University you will gain knowledge and insight through the analysis of data. ,"10,456 EUR / year",month,48,B.Sc.,Full-time,,
Data Science - Computer Science,Colorado State University,"Fort Collins, Colorado, United States",In this Data Science - Computer Science program from Colorado State University you will gain knowledge and insight through the analysis of data. ,"10,456 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,XU Exponential University of Applied Sciences,"Potsdam, Germany","With a bachelor in Data Science at XU Exponential University of Applied Sciences you are well trained to professionally collect, process and evaluate data, one of the most valuable resources of our time. You are able to derive recommendations for new digital business models and products from the evaluations and thus give companies decisive impulses for the future.","8,330 EUR / year",month,36,B.Sc.,Full-time,,
Data Science - Computer Science Track,Florida Atlantic University - Online,Online,"Data Science - Computer Science Track from Florida Atlantic University is the study of methods to manage, analyze and extract knowledge from data. Industry and government need an educated workforce with the necessary expertise to make use of the enormous volumes of data available to them. ",623 EUR / credit,,,Graduate Certificate,Part-time,,
Data Science,"University of California, Irvine (UCI)","Irvine, California, United States","If you enjoy working with data, understanding basic mathematical principles, and implementing your ideas in algorithms and software, then the Data Science program at the University of California, Irvine (UCI)  is for you. ","25,801 EUR / year",month,48,B.Sc.,Full-time,,
Data Science and Analytics,Marist College,"Poughkeepsie, New York, United States","During the Data Science and Analytics programme from Marist College you will learn about the field of data science has experienced exponential growth over the past few years, with huge impacts on business, government, science, technology, and academia. ","36,854 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,South Dakota State University,"Brookings, South Dakota, United States","Data analyst, data scientist, actuary, statistician, financial/business analyst, risk analyst, credit analyst– the list of great careers for data science is long and growing.  The Data Science program at  South Dakota State University prepares students to use the power of data to help organizations of all sorts and society as a whole to make better decisions. ",,,,Bachelor,Full-time,Blended Learning,
Data Science Full-Time Professional Certificates,UC Berkeley Global,"Berkeley, California, United States","Data is everywhere: e-commerce sales, app downloads, smartphones, supply chain management, bioinformatics and connected devices. Begin your journey to a data analyst or data scientist role—or add data analysis to your current or future work—with the Data Science program at Berkeley Global. ","9,539 EUR / full",month,5,Graduate Certificate,Full-time,,
Data Science,Tilburg University,Multiple locations,"The Bachelor Data Science is a joint program run by Tilburg University and Eindhoven University of Technology. After successfully completing the program, you will be awarded a single diploma naming both universities. This means you will attend lectures on both campuses. ","11,000 EUR / year",month,36,B.Sc.,Full-time,,
Data Science,South Dakota State University,"Brookings, South Dakota, United States","Data analyst, data scientist, actuary, statistician, financial/business analyst, risk analyst, credit analyst– the list of great careers for data science is long and growing.  The Data Science program at South Dakota State University  prepares students to use the power of data to help organizations of all sorts and society as a whole to make better decisions.",222 EUR / credit,month,48,B.Sc.,Full-time,Blended Learning,
Elements of Data Science,edX - online learning platform,Online,"EdX is an online learning platform trusted by over 12 million users offering the Elements of Data Science MicroBachelor Programme in collaboration with Rice University - RICEx. Across industries, data science is becoming an ever-increasing necessity for organizations to be successful.",512 EUR / full,day,6,Pre-Bachelor,Part-time,,
Data Science,IUBH University of Applied Sciences - Online,Online,"Our international bachelor in Data Science programme IUBH Online is an ideal opportunity to acquire the relevant skill-set, getting a headstart on your competition. Our graduates are going to take implementing roles in the current data revolution.",588 EUR / year,month,36,B.Sc.,Full-time,Part-time,
Data Science,Northern Arizona University,"Flagstaff, Arizona, United States","Data science is systematic way to discover, quantify, and understand relationships hidden in data. Learn more in the Data Science programme at Northern Arizona University.","21,913 EUR / year",month,48,B.Sc.,Full-time,,
Data Science and Computing,Undergraduate courses,"London, England, United Kingdom","The Data Science and Computing programme from Birkbeck, University of London will give you the strong technical grounding you need to work as a data scientist or industry analyst. ","15,451 EUR / year",month,36,B.Sc.,Full-time,,
Data Science and Computing (Part-time),Undergraduate courses,"London, England, United Kingdom","The Data Science and Computing (Part-time) programme from Birkbeck, University of London will give you the strong technical grounding you need to work as a data scientist or industry analyst. ","11,588 EUR / year",month,48,B.Sc.,Part-time,,
Data Science,Saint Louis University,"Saint Louis, Missouri, United States",The bachelor of science in Data Science at Saint Louis University is an interdisciplinary program supported by the Department of Computer Science and the Department of Mathematics and Statistics. ,"39,854 EUR / year",month,48,B.Sc.,Full-time,,
Data Science and Analytics (Hons),Faculty of Technology,"Portsmouth, England, United Kingdom","On this BSc Data Science and Analytics (Hons) degree course offered at University of Portsmouth, you’ll learn the technical and analytical skills to make sense of the vast amounts of data available to organisations while working within the regulatory and technical boundaries of the field.","18,100 EUR / year",month,36,B.Sc.,Full-time,,
Data Science,Bay Atlantic University,"Washington, D. C., Washington, D.C., United States","The Data Science program at Bay Atlantic University integrates scientific methods from statistics, computer science and data-based business management to extract knowledge from data and drive decision making. ","10,146 EUR / year",month,48,B.Sc.,Full-time,,
Data Science - Economics,Colorado State University,"Fort Collins, Colorado, United States",In this Data Science - Economics program from Colorado State University you will gain knowledge and insight through the analysis of data. ,"10,456 EUR / year",month,48,B.Sc.,Full-time,,
Econometrics and Operations Research - Econometrics and Data Science,Vrije Universiteit Amsterdam,"Amsterdam, Netherlands","During the Econometrics and Operations Research - Econometrics and Data Science programme from Vrije Universiteit Amsterdam you will learn how to solve problems in business, economics and finance, using data science techniques.","8,796 EUR / year",month,36,B.Sc.,Full-time,,
Data Science,Engineering and Mathematical Sciences,Multiple locations,"As one of the most rapidly growing fields in information technology, Data Science unearths value and meaning from data to help businesses and organisations across the globe. This Data Science major from The University of Western Australia focuses on data and scientific computation. ","33,974 EUR / year",month,36,Bachelor,Full-time,Part-time,
Data Science and Business Analytics,London School of Economics and Political Science,Online,"The online BSc Data Science and Business Analytics from the London School of Economics and Political Science, one of the world’s foremost providers of distance education, prepares students to pursue new careers in data science. ",,month,36,B.Sc.,Part-time,,
Data Science and Big Data Technology,Xi'an Jiaotong-Liverpool University,"Suzhou, China",The Data Science and Big Data Technology program from  Xi'an Jiaotong-Liverpool University will equip you with the skills to analyse and harness large-scale data across a number of industries.,"10,818 EUR / year",month,48,B.Eng.,Full-time,,
Data Science,Western Sydney University,"Paramatta, New South Wales, Australia","In the world of tomorrow, data skills will be essential, no matter what other qualifications you may have. The Data Science program from Western Sydney University is one of a kind. It’s unique because it can only be studied in conjunction with another degree – giving you an added advantage in a competitive environment.","19,073 EUR / year",month,36,Bachelor,Full-time,,
Data Science (Hons),London South Bank University,"London, England, United Kingdom","Data Science (Hons) course from London South Bank University develops essential knowledge and skills for business intelligence solutions and systems to support data driven decision making in business, an area in high demand in almost every industry.","15,208 EUR / year",month,36,B.Sc.,Full-time,Part-time,
Data Science (Honours),The Open University UK,Online,"This Data Science (Honours) qualification at The Open University UK equips you with the key skills to explore and analyse complex data sets, and to solve practical problems using applied mathematics, statistics and computing. ","6,834 EUR / year",month,36,B.Sc.,Full-time,Part-time,
Data Science with Sandwich Placement (Hons),University of Wolverhampton,"Wolverhampton, England, United Kingdom","The BSc in Data Science with Sandwich Placement (Hons) at University of Wolverhampton will develop in you strong mathematical, statistical, computational and programming skills.","13,520 EUR / year",month,48,B.Sc.,Full-time,,
Data Science (Hons),Beijing Normal University - Hong Kong Baptist University United International College,"Zhuhai, China","In the Data Science (Hons) programme at Beijing Normal University - Hong Kong Baptist University United International College, students will first learn the fundamental knowledge of computer science and statistics before they get their hands “dirty” in the skill trainings related to the whole life circle of data.","11,356 EUR / year",month,48,B.Sc.,Full-time,,
Mathematics - Data Science,South Dakota State University,"Brookings, South Dakota, United States",The Mathematics - Data Science program at South Dakota State University provides an outstanding educational experience to students interested in any of the wide range of excellent career or graduate school choices available in data science.,222 EUR / credit,month,48,B.Sc.,Full-time,Blended Learning,
Statistics and Data Science,University of Pretoria,Multiple locations,Statistics and Data Science at University of Pretoria can increase the scope of possible jobs you could consider in practically any industry.,"2,896 EUR / year",month,36,Bachelor,Full-time,Blended Learning,
