course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4,class,degree,enrollment,online,in_person,blended_learning
"Business Administration, Concentration in Management Information Systems",San José State University,"San Jose, California, United States","Business Administration, Concentration in Management Information Systems from San José State University teaches students about how technology can be applied to business and how to manage and organization - better, faster, and smarter. ","4,963 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Engineering,Hamburg University of Applied Sciences,"Hamburg, Germany","Today‘s complex information processing systems require a system know-how that includes the software, hardware and information technology aspects of such systems. We offer a bachelor degree in Information Engineering at the Hamburg University of Applied Sciences. ",0 EUR / year,month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Health Care Informatics,University of Illinois Springfield,"Springfield, Illinois, United States","The Health Care Informatics bachelor’s degree provides students at University of Illinois Springfield with both a foundation in business, and skills in management information systems, rather than a foundational focus on computer science.  ","26,437 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Systems Technology - Information Security,Regent University,Online,The Bachelor of Science in Information Systems Technology - Information Security from Regent University is offered online and on campus in Virginia Beach. ,496 EUR / credit,month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Mathematics Operational Research and Statistics,Cardiff University,"Cardiff, Wales, United Kingdom",Combine statistics and operational research with mathematics on a Mathematics Operational Research and Statistics course from Cardiff University carefully tailored to those looking for flexible options and a range of career opportunities.,"24,160 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
"Supply Chain, Information and Analytics",Purdue University,"West Lafayette, Indiana, United States","With a major in Supply Chain, Information, and Analytics you are prepared to help firms be more profitable and productive. This three-track major allows you to specialize in one, two or all three of these areas. ","24,887 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computing and Solid State Device Technology,Brock University,"St. Catharines, Canada",Computing and Solid State Device Technology offered by Brock University is a unique Honours undergraduate program combining a thorough training in physics and natural sciences with an extensive education in computing. It offers a four-year Honours program leading to a Bachelor of Science in Computing and Solid-State Device Technology degree as well as a Co-op option.,"35,774 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Bioinformatics - Molecular and Cellular Biology Emphasis,University of Arizona,"Tucson, Arizona, United States",The major in Bioinformatics - Molecular and Cellular Biology Emphasis at University of Arizona provides students with the biological knowledge and computational skills to leverage the large variety of biological data being generated.,"31,633 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Bioinformatics - Systems Biology Emphasis,University of Arizona,"Tucson, Arizona, United States",The major in Bioinformatics - Systems Biology Emphasis at University of Arizona provides students with the biological knowledge and computational skills to leverage the large variety of biological data being generated.,"31,633 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Bioinformatics - Ecology and Evolutionary Biology Emphasis,University of Arizona,"Tucson, Arizona, United States",The major in Bioinformatics - Ecology and Evolutionary Biology Emphasis at University of Arizona provides students with the biological knowledge and computational skills to leverage the large variety of biological data being generated.,"31,633 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Geography - Geographic Information Systems Option,Appalachian State University,"Boone, North Carolina, United States",This Geography - Geographic Information Systems Option from Appalachian State University is a discipline that bridges the social sciences and natural sciences and that the U.S. Bureau of Labor Statistics cites as a growing career field.,"16,463 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,Roanoke College,"Salem, New Hampshire, United States",The Statistics program of Roanoke College prepares you to use quantitative information to answer questions in the social and natural sciences.,"39,066 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Health Information Administration,Indiana University Southeast,"New Albany, Indiana, United States","Health Information Administration from Indiana University Southeast is a multi-disciplinary degree, which combines training in the fields of health informatics, business and health science. ","17,222 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
